initialCells,t (s),experimentalCells (1),initialGlucose (mol/m^3),initialLactate (mol/m^3),initialOxygen (O2 mmHg)
25000,21600,80581.8453,22,1.725,182.8
25000,21600,104186.6283,22,1.725,182.8
25000,21600,76105.07612,22,1.725,182.8
50000,21600,262908.4448,22,1.725,182.8
50000,21600,176018.4247,22,1.725,182.8
50000,21600,132471.6699,22,1.725,182.8
100000,21600,396194.0727,22,1.725,182.8
100000,21600,446862.9603,22,1.725,182.8
100000,21600,358548.5137,22,1.725,182.8
200000,21600,521136.6308,22,1.725,182.8
200000,21600,455613.0092,22,1.725,182.8
200000,21600,519305.2253,22,1.725,182.8
25000,64800,118837.8729,22,1.725,182.8
25000,64800,127994.9007,22,1.725,182.8
25000,64800,104797.0968,22,1.725,182.8
50000,64800,249071.1582,22,1.725,182.8
50000,64800,191483.6273,22,1.725,182.8
50000,64800,147529.8935,22,1.725,182.8
100000,64800,176425.4037,22,1.725,182.8
25000,108000,142442.6558,22,1.725,182.8
25000,108000,169506.7604,22,1.725,182.8
25000,108000,139390.3132,22,1.725,182.8
50000,108000,403723.1845,22,1.725,182.8
50000,108000,330466.9615,22,1.725,182.8
50000,108000,253547.9274,22,1.725,182.8
100000,108000,671718.867,22,1.725,182.8
100000,108000,674771.2096,22,1.725,182.8
100000,108000,688811.9857,22,1.725,182.8
200000,108000,719131.9225,22,1.725,182.8
200000,108000,785469.5022,22,1.725,182.8
200000,108000,900441.0744,22,1.725,182.8
25000,151200,175611.4457,22,1.725,182.8
25000,151200,210815.1306,22,1.725,182.8
25000,151200,170727.6975,22,1.725,182.8
50000,151200,449508.3239,22,1.725,182.8
50000,151200,396601.0517,22,1.725,182.8
50000,151200,252326.9903,22,1.725,182.8
100000,151200,607416.1824,22,1.725,182.8
100000,151200,791777.6769,22,1.725,182.8
100000,151200,679044.4893,22,1.725,182.8
200000,151200,941749.4446,22,1.725,182.8
200000,151200,1001371.871,22,1.725,182.8
200000,151200,1103930.583,22,1.725,182.8
25000,194400,213053.5152,22,1.725,182.8
25000,194400,275321.3048,22,1.725,182.8
25000,194400,205320.9139,22,1.725,182.8
50000,194400,568346.1968,22,1.725,182.8
50000,194400,429973.3311,22,1.725,182.8
50000,194400,428548.9046,22,1.725,182.8
100000,194400,483287.5823,22,1.725,182.8
100000,194400,959860.0108,22,1.725,182.8
100000,194400,854452.4455,22,1.725,182.8
200000,194400,1130791.198,22,1.725,182.8
200000,194400,1170064.673,22,1.725,182.8
200000,194400,1190617.113,22,1.725,182.8
25000,237600,287530.6753,22,1.725,182.8
25000,237600,309304.0527,22,1.725,182.8
25000,237600,252530.4798,22,1.725,182.8
50000,237600,607619.6719,22,1.725,182.8
50000,237600,745382.069,22,1.725,182.8
50000,237600,462328.1629,22,1.725,182.8
100000,237600,1039627.898,22,1.725,182.8
100000,237600,960877.4584,22,1.725,182.8
100000,237600,901458.5219,22,1.725,182.8
200000,237600,1233146.421,22,1.725,182.8
200000,237600,1339978.412,22,1.725,182.8
200000,237600,1287681.609,22,1.725,182.8
25000,280800,340030.9684,22,1.725,182.8
25000,280800,388461.4714,22,1.725,182.8
25000,280800,341455.395,22,1.725,182.8
50000,280800,703463.2303,22,1.725,182.8
50000,280800,703056.2513,22,1.725,182.8
50000,280800,499770.2325,22,1.725,182.8
100000,280800,1107796.883,22,1.725,182.8
100000,280800,1090296.786,22,1.725,182.8
100000,280800,1081546.737,22,1.725,182.8
200000,280800,1482217.579,22,1.725,182.8
200000,280800,1232942.931,22,1.725,182.8
200000,280800,1493816.481,22,1.725,182.8
25000,324000,413287.1914,22,1.725,182.8
25000,324000,527037.8266,22,1.725,182.8
25000,324000,413083.7019,22,1.725,182.8
50000,324000,1063029.192,22,1.725,182.8
50000,324000,886196.8088,22,1.725,182.8
50000,324000,799510.2782,22,1.725,182.8
100000,324000,1509892.152,22,1.725,182.8
100000,324000,1329193.468,22,1.725,182.8
100000,324000,1325327.168,22,1.725,182.8
200000,324000,1689166.409,22,1.725,182.8
200000,324000,2235128.76,22,1.725,182.8
200000,324000,2313065.241,22,1.725,182.8
25000,367200,445438.5337,22,1.725,182.8
25000,367200,505874.9177,22,1.725,182.8
25000,367200,473316.5964,22,1.725,182.8
50000,367200,1041662.793,22,1.725,182.8
50000,367200,929336.5846,22,1.725,182.8
50000,367200,941138.9761,22,1.725,182.8
100000,367200,1534921.361,22,1.725,182.8
100000,367200,1501142.103,22,1.725,182.8
100000,367200,994249.7377,22,1.725,182.8
200000,367200,1243524.385,22,1.725,182.8
200000,367200,1987075.049,22,1.725,182.8
200000,367200,2032453.209,22,1.725,182.8
25000,410400,681079.3844,22,1.725,182.8
25000,410400,781603.2015,22,1.725,182.8
25000,410400,543723.9663,22,1.725,182.8
50000,410400,1264076.826,22,1.725,182.8
50000,410400,1022534.779,22,1.725,182.8
50000,410400,587067.2315,22,1.725,182.8
100000,410400,1631782.367,22,1.725,182.8
100000,410400,1732916.653,22,1.725,182.8
100000,410400,1659660.43,22,1.725,182.8
200000,410400,1918702.574,22,1.725,182.8
200000,410400,2176116.802,22,1.725,182.8
200000,410400,1986057.601,22,1.725,182.8
25000,21600,37238.58003,22,1.725,182.8
25000,21600,38866.49609,22,1.725,182.8
25000,21600,35814.15347,22,1.725,182.8
50000,21600,56977.06233,22,1.725,182.8
50000,21600,62878.25808,22,1.725,182.8
50000,21600,59011.95742,22,1.725,182.8
100000,21600,96250.53744,22,1.725,182.8
100000,21600,106831.9919,22,1.725,182.8
100000,21600,94012.15285,22,1.725,182.8
200000,21600,155465.9844,22,1.725,182.8
200000,21600,150582.2362,22,1.725,182.8
200000,21600,172152.1241,22,1.725,182.8
25000,64800,49244.46102,22,1.725,182.8
25000,64800,43546.75478,22,1.725,182.8
25000,64800,37849.04855,22,1.725,182.8
50000,64800,72849.24398,22,1.725,182.8
50000,64800,80581.8453,22,1.725,182.8
50000,64800,80174.86628,22,1.725,182.8
100000,64800,123314.6421,22,1.725,182.8
100000,64800,138372.8657,22,1.725,182.8
100000,64800,109680.845,22,1.725,182.8
200000,64800,200640.6552,22,1.725,182.8
200000,64800,189855.7113,22,1.725,182.8
200000,64800,210001.1726,22,1.725,182.8
25000,108000,67558.51677,22,1.725,182.8
25000,108000,59622.42594,22,1.725,182.8
25000,108000,46395.6079,22,1.725,182.8
50000,108000,90552.83121,22,1.725,182.8
