initialCells,t (s),experimentalGlucose (mol/m^3),experimentalLactate (mol/m^3),experimentalOxygen (O2 mmHg),initialGlucose (mol/m^3),initialLactate (mol/m^3),initialOxygen (O2 mmHg)
25000,21600,5.2,1.62,164.2,5.366666667,1.466666667,209.6333333
25000,21600,5.2,1.63,162.4,5.366666667,1.466666667,209.6333333
25000,21600,5.2,1.66,161.2,5.366666667,1.466666667,209.6333333
50000,21600,5.1,1.7,163.4,5.366666667,1.466666667,209.6333333
50000,21600,5.1,1.69,166.8,5.366666667,1.466666667,209.6333333
50000,21600,5.2,1.71,166.2,5.366666667,1.466666667,209.6333333
100000,21600,5,1.72,169.7,5.366666667,1.466666667,209.6333333
100000,21600,5,1.74,161.2,5.366666667,1.466666667,209.6333333
100000,21600,4.9,1.68,161,5.366666667,1.466666667,209.6333333
200000,21600,4.9,1.85,162.5,5.366666667,1.466666667,209.6333333
200000,21600,5,1.9,163.1,5.366666667,1.466666667,209.6333333
200000,21600,4.9,1.86,165.2,5.366666667,1.466666667,209.6333333
25000,108000,5.2,1.84,151.5,5.366666667,1.466666667,209.6333333
25000,108000,5.2,1.89,158.5,5.366666667,1.466666667,209.6333333
25000,108000,5.2,1.92,161.2,5.366666667,1.466666667,209.6333333
50000,108000,5.1,2.22,151.6,5.366666667,1.466666667,209.6333333
50000,108000,5,2.14,162.4,5.366666667,1.466666667,209.6333333
50000,108000,5,2.16,165.1,5.366666667,1.466666667,209.6333333
100000,108000,4.7,2.8,158.2,5.366666667,1.466666667,209.6333333
100000,108000,4.7,2.74,166.3,5.366666667,1.466666667,209.6333333
100000,108000,4.7,2.76,169.4,5.366666667,1.466666667,209.6333333
200000,108000,4.1,3.92,165.8,5.366666667,1.466666667,209.6333333
200000,108000,4.1,4.1,167.8,5.366666667,1.466666667,209.6333333
200000,108000,4.1,4.04,173.3,5.366666667,1.466666667,209.6333333
25000,194400,5.1,2.34,148.9,5.366666667,1.466666667,209.6333333
25000,194400,5,2.34,148.6,5.366666667,1.466666667,209.6333333
50000,194400,4.5,3.36,154.4,5.366666667,1.466666667,209.6333333
50000,194400,4.4,3.31,163,5.366666667,1.466666667,209.6333333
50000,194400,4.4,3.35,152.6,5.366666667,1.466666667,209.6333333
100000,194400,3.5,5.4,161.1,5.366666667,1.466666667,209.6333333
100000,194400,3.4,5.46,159.9,5.366666667,1.466666667,209.6333333
100000,194400,3.5,5.58,165.2,5.366666667,1.466666667,209.6333333
200000,194400,1.9,8.38,164.6,5.366666667,1.466666667,209.6333333
200000,194400,1.8,8.44,162.4,5.366666667,1.466666667,209.6333333
200000,194400,1.9,8.53,161.2,5.366666667,1.466666667,209.6333333
25000,280800,4.3,4.13,150.3,5.366666667,1.466666667,209.6333333
25000,280800,4.2,4,150.5,5.366666667,1.466666667,209.6333333
25000,280800,4.2,4.05,153.1,5.366666667,1.466666667,209.6333333
50000,280800,2.9,6.79,152.5,5.366666667,1.466666667,209.6333333
50000,280800,2.8,6.51,157.4,5.366666667,1.466666667,209.6333333
50000,280800,2.9,6.6,154.3,5.366666667,1.466666667,209.6333333
25000,367200,3,7.23,164.3,5.366666667,1.466666667,209.6333333
25000,367200,2.8,6.76,160.5,5.366666667,1.466666667,209.6333333
25000,367200,2.9,7.11,161.1,5.366666667,1.466666667,209.6333333
25000,21600,5.4,1.66,170.9,5.366666667,1.466666667,209.6333333
25000,21600,5.4,1.68,176.9,5.366666667,1.466666667,209.6333333
25000,21600,5.5,1.69,173.2,5.366666667,1.466666667,209.6333333
50000,21600,5.4,1.72,174.5,5.366666667,1.466666667,209.6333333
